name,discord_username,github_id,discourse_id,sourcecred_id,address,discord_id,totalGrainPaid,totalCred
drllau,drllau#2628,drllau,,0u65wCvw3XLwbLQ7QijdhQ,,551837798399737879,99.2804594468527,24.62576594627384
drllau-discourse,,,drllau,jqR7p548bZXINNzc7NFP7g,,,0.0,6.898388206863408
durgadas,durgadas#9280,durgadasji,durgadas,i36ZRsX2r4eeBhxaRAwh0Q,0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,249005209710362624,0.0,31.51832336517424
durgadas-discord,durgadas#9439,,,ojpNAnXCJVoF0AY0xXdd4A,,775515475416973322,0.0,0.01
durgadas-discourse,durgadas#9280,durgadasji,durgadas,xmipVPPlK0Cr3x0vf1gFBg,0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,249005209710362624,0.0,0.01
durgadasji,durgadas#9280,durgadasji,durgadas,IvNF7eNyaGA0YzVsA7FOyQ,0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,249005209710362624,0.0,0.01
eduardovegap,eduardovegap#0422,eduardovegap,vegayp,NxVE6uDlQPByNRx1B0CyGA,0x1d921dff757610FbDB0073479e12c0a07d382677,573648007384530954,479.9444198730656,281.7544891419322
eeli,eeli#0534,,eeli,7iARkbO8SOnI2jwPM1T88g,,512745291313840128,51.59849476060207,9.844627840549034
eenti,,,,24Hq9sy4ZxALM8IWh1aNjA,,,,4.298075612882362
emjicy,,,,GlylZm52ojMnEcPrZ9GWHg,,,,2.397293764800755
enti-discourse,,,,2hnJBbNI2t2s1WDqu94VCA,,,,18.252453426900555
fabianschu,,,,kAWvz1PBTzyMXevEPi3vdg,,,,1.1525861667847852
fabriziovigevani,,fabriziovigevani,,ZQUaMankgsN2Uq2nDhx2mg,,,0.0,139.1704895325634
famole,,famole,,W35ogAZwxP7sx94jsETqRg,,,0.0,26.199701961317707
farty,,,,fE3Vc42d2cV1f0U7p8HQeA,,,,1.5638215906671558
felixbbertrand,,,,Et1YkeJ12pAWH2bcKQeU2Q,,,,19.12193162227189
fioreb,,fioreb,,haBxLCEYTb1ZUAgMAZ7qwg,,,24.531618884944564,6.449886203127357
foxdao,,,,2wNOmJZ1orOUZ0lY5loWtg,,,,12.361504897661924
freedumbs00,freedumbs00#3857,freedumbs00,Freedumbs00,YZFeL0BE1YdlCdiZULyZcQ,,780101341124886587,754.1545386885772,226.470788968264
freshelle,,,,xXoy17KlNJiEHYzsjIX4Bw,,,,0.5165240656200265
freshelle-discourse,,,,p7QFaqfMAtaqdjjn9Vv6eg,,,,20.86707230929798
gabi,,,gabi,RvkAJK4aFoVIeZZhAAk0AQ,,,0.0,18.2326148756328
gconnect,,,,Zw0fvvLrYTrpD05quRv3UA,,,,3.457758500255089
geleeroyale-github,,geleeroyale,,hXOgbgupaptpGeSKM3JBaw,,,0.0,14.928175829180546
gene,,,,y50K8dyQbtgK0QdpplO88g,,,,54.13139189748974
georgesmith9914,,,,SR5JKSAsofwaZ6tVFz8pjg,,,,1.1525861667847852
gideonro,GideonRo#3175,,gideonro,464rDE6RHDwC8DNYqcnkUA,0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53,343470788491476992,0.0,165.1828096599637
gideonro-github,,,,1xhOmI6qua9KbiaUKIKigw,,,,49.91303045454577
github-actions,,,,jwvKsw9ETvUQHL0mOaP8aw,,,,3.32053268081964
graial,,,,Ge8I1Vymxltyeb517Hdq6A,,,,66.45378998334951
haxelax-discourse,,,,okXcxCWubMXWbkQzy1Q6RQ,,,,3.2901871701111305
hernandoagf-github,,,,d5LhkRRSDTdrmwO9MKx6Gw,,,,137.92115779290253
hozzjss,,,,6l82wRUzsNvi3eJXfWQ82w,,,,40.27750096739857
hurek,,hurek,,DUosng8s9oJ7T9nlsOjbvg,,,0.0,72.14991467994814
innov8tor3,,,,HnkEOwNtdmBikgtjhZxPOA,,,,36.21499161174759
ishanjain28,,,,T9Ys6D7LqUz5bKTaA5JNwg,,,,1.1525861667847852
iviangita,iviangita#3204,iviangita,iviangita,7TOOsLar5Jnk7IAu0EIqiw,,753834288511713303,548.9055680022292,346.4944800653809
